Review,Sentiment
kind embarrass use look embarrass childlike company,0
simple lightweight great fit,1
d expect well consumer experience motorola,0
s horrible tick sound background call never experienced,0
certainly comfortable functionality decent,1
usually nt like headband lightweight nt mess hair,1
m bit disappointed,0
phone year tell not great,0
order sony ericsson wi think work s,0
battery completely useless,0
big waste time,0
nt waste,0
great sound service,1
pleased product far,1
favorite purchase,1
best bluetooth market,1
authentic leather nice shine comfort recommend case,1
excite headset thought cute,1
not mistake,0
big disappointment calendar sync,0
phone unusable not new,0
bad customer service,0
no additional ear gel provide no instruction whatsoever,0
defeat purpose bluetooth headset,0
worth penny,1
excellent wallet type phone case,1
nice headphone price work great,1
internet excrutiatingly slow,0
comfortable wear probably important aspect case,1
fit like glove strong secure durable,1
o gosh best phone,1
attractive appear good quality,1
love feature form factor,1
product strong rubberpetroleum smell unbearable cause return,0
poor quality service,0
cable look thin flimsy scary,0
great earpiece,1
excellent hand free tool,1
great home stereo,1
good product incredible value,1
month work flawlessly far,1
work great,1
absolutel junk,0
nt work,0
battery life real good,1
return hour later,0
great item,1
nt waste money,0
love headset,1
not drain player potentially fry,0
work perfectly,1
unreliable m give,0
give star sound quality,1
avoid,0
reversible plug work great,1
waste little money earpiece,0
good phone,1
best rotate feature helpful,1
comfort family,1
good product good seller,1
love bluetooth,1
nt wear,0
impressed headset plantronics,1
get small adorable,1
great phone,1
nt recommend buying product,0
piece junk,0
poorly contstruct hinge,0
item great instal let charge overnite work good no problem,1
great phone,1
nt buy,0
excellent phone,1
not purchase phone,0
voice recognition handset excellent,1
hand best phone ve,1
work great cat attack phone scratch protective strip instead destroy screen,1
work price right,1
customer service terrible,0
battery life not long motorola razor vi,0
send,0
know wise decision,1
ve invent sooner,1
good price,1
work trythe device certainly engineer clever way construction feel good,1
receive quickly work great,1
work great,1
people complain found headset microphone weak,0
year old nokia tracfone hold charge lot well,0
not care consumer bit,0
good battery get fast,1
instruction manual lack,0
slim fit alarm clock dock station remove case,1
phone hold charge like new,1
battery unreliable service use antena,0
uncomfortable sound quality poor compare phone razr previous wire headset plug lg,0
gotten lot compliment,1
definitely state not allow cell phone usage drive,1
want money,0
love device,1
happy price,1
order product unhappy immediately,0
ngage lack earbuds,0
able voice dial car no problem,1
bar cell phone home nt not hear,0
good item low price,1
howeverthe riingtones not best game,0
plug not work,0
amazon suck,0
rip charge shipping,0
comfortable,1
battery work replacement original come phone year ago,1
reception excellent,1
fit comfortably ear sound clear loud charge last couple day,1
clear quality sound nt mess sound ipod sound button headset,1
long last battery nt recharge frequentyly flip phone,0
obviously problem adhesive,0
disappoint,0
inexpensive piece expect well quality,0
practically useless not add kind boost reception bought,0
excellent sound quality,1
not happy,0
piece junk broke phone day,0
new battery work great phone,1
bad customer service,0
ve drop phone time concrete phone great knock wood,1
reception terrible static,0
good audio quality,1
little device transform organizational capability life lot easy,1
sit vehicle cradle belt headset lose signal,0
jerk phone,0
work like charm work advertised,1
comfortable nice range good battery life,1
network coverage los angeles horrible,0
excellent starter wireless headset,0
loudspeaker option great bumper light appeal,0
thing think improve sound leak headset,0
reception suck never bar,0
phone get extremely hot,0
microphone work accord people call applifies,1
nice design quality,1
phone drop case not go save specially drop face,0
light easy use clear reception transmission,1
bad fit way big,0
definitely not good s,1
awesome device,1
waste money,0
order motorola data cable get finish work product,1
love phone,1
look headset long time ve get nt happier,1
ill drivng headset start ring no reason,0
display excellent camera good year,1
battery life great,1
bad phone ve month,0
not good item work start have problem auto reverse tape player,0
embarassing ear hurt try push ear plug ear,0
protects phone side,1
average phone bad battery life operates weak network,0
clear skype call long battery life long range,1
soyo technology suck,0
great hand free device,1
self portrait outside exterior display cool,1
problem mention,0
try handsfree gadget finally work,1
magical help,1
bad piece crap verizon customer service,0
poor sound quality,0
best phone market,1
work,1
company ship product promptly work,1
exactly want,1
picture resolution far comparablypriced phone offering today,0
great deal,1
excellent product satisfied purchase,1
highly recommend encourage people try,1
well d expect,1
earpiece left right thing not stay ear,0
great product price,1
sound good reasonably price effective simple,1
wait m sure item work recieve,0
disappointment,0
prompt service,1
excellent product price,1
pleased headset,1
nt waste money time,0
especially love long battery life,1
stupid buying new charger car charger cradle headphone car kit time new phone come,0
work great,1
plantronics bluetooth excelent buy,1
come verizon cingulair nicer cell phone thing notice bad service,0
ill look new earpiece,0
highly recommend device,1
jawbone era awesome,1
receive white color battery go dead couple hoursthe original week last longer thereplacement,0
year battery go completely dead headset,0
phone year best,1
awesome new look fall,1
phone ve cheaply,0
att not clear sound distort yell talk,0
plastic break easy clip,0
price good,1
nt mistake,0
oh forgot mention weird color effect phone,0
m iriver spinn case fit fine,1
area unit broke m not fond magnetic strap,0
overall psyched phone appointment contact get great reception,1
thing phone work perfectly like,1
note phone appearance look bland especially black model,0
easy,1
sanyo survive dozen drop blacktop ill effect,1
fantastic earphone,1
find cell phone right away enter car,1
low quality,0
highly recommend modest price cellular phone,1
well reception clarity phone ve,1
warn stay away,0
wish return unit money,0
awsome device work great,1
talk hour battery literally drain die,0
nt find bad unit come earpad onlyi not recommend,0
displeased,0
gotten defect not risk buying built quality,0
case small difficult install,0
restore phone like new performance,1
recommend purchasing jabra jx series work flawlessly moto q figure,1
search internet found best value,1
not fit,0
happy product,1
screen size big key pad lit camera quality excellent camera phone,1
s bad headset,0
m glad found product amazon hard find nt high price,1
portable work,1
colleague great receptiona little expensive performance great,1
fully charge go bed turn blue tooth wifi notice left morning,0
ve problem phone reading memory card turn,0
not good wear hat sunglass,0
timely shipment quality product,1
nice solid keyboard,1
fit surefire gx perfectly,1
horrible phone,0
bt battery junk,0
recommend,1
nt software work computer,0
disappointed,0
poor voice clarity,0
battery work great,1
no buyer remorse,0
disappointed accessoryone,0
find inexcusable probably return phone change carrier,0
look great strong,1
tmobile service year pretty happy,1
update procedure difficult cumbersome,0
disappointment hate go ear,0
great software motorolas,1
delivery time,1
easy use,1
uncomfortable ear nt use lg vx env,0
volume switch rocket unit destination unknown,0
hold charge long time reasonably comfortable longwearing condition quality sound tremendous,1
d like return,0
keyboard worthwhile usefulness sturdy nt expect problem,1
verizons bill difficult understand pricing plan simple,0
charge overnight battery work great,1
wo nt regret,1
love phone,1
disappointment,0
not user friendly,0
unfortunately ability actually know receive important feature phone pitiful respect,0
exchange phone problem,0
result phone stuck max volume mute,0
pda rock,1
super charge use small hybrid palmtopcameracellphone excels role,1
definitely recommend jabra btv look comfort clarity great price,1
verizon year ago like service,1
pretty piece junk,0
plug wrong size,0
work described,1
save money ve item month,0
bad purchase,0
m satisfied,1
bose noise cancel amaze important nyc commuter,1
battery excellent bargain,1
defective crap,0
give no star able,0
wear glass fit fine,1
sound quality device unacceptableunless quiet area hear,0
not recommend item,0
holster arrive not match photo ad,0
greatno problem,1
earlier review note plug charger happens,0
frog phone charm adorable eye catch,1
never know push hard right number time function want not,0
sound clear people talk amaze quality,1
get aluminum case new palm vx work wellit protect handheld perfectly far,1
good product,1
mobile phone tool,1
impressed job motorola sturdiness phone,1
receive order shipping timeframe good work order overall excite source,1
phone sturdy waterproof,1
not impressed not recommend item,0
complaint standard sound volume little low turn,0
thanks amazon have thing need good price,1
end slide edge pant pocket instead,1
store bought new nokia phone work great,1
work great,1
ugly,0
horrible switch time,0
noise shield incrediable,1
no real improvement,0
razr battery good buy,1
good work amazon,1
refuse refund replace,0
unfortunately easy accidentally activate gentletouch button accidentally touch phone face listen,0
basically threw money window,0
great case price,1
take drop inch kitchen counter crackedi not impressed not laugh,0
bluetooth range good day ago left phone trunk get carry conversation hitch,1
small sleek impressive look practical setup ample storage place,1
eargels channel sound directly ear increase sound volume clarity,1
new one work properly,0
glad purchase,1
ve miss numerous call reason,0
phone defective people not hear use,0
nt buy product,0
suck stuff not work phone,0
no shift no bubbling no peel not scratch nothingi nt happier new droid,1
bad software zero star,0
try exercise frustration,0
case flimsy piece plastic no protection whatsoever,0
jabra earset happy sound quality especially outgo well,1
love camera pretty good quality,1
thank great service,1
total package,1
seller understand patient definitely buy,1
wirefly stari contact cingularatt inform practice,0
aggravate,0
great product price,1
purchase family friend enjoy clarity ease use,1
virgin wireless rock cheap little phone,1
work nt buy,0
muddy low quality sound case wire insert poorly super glue slid,0
nt waste money,0
m satisfied purchase,1
look good quality motorola headset look nt,0
plantronincs continue use flaw charger design,0
disapointing result,0
cumbersome design,0
great new package nice work good no problem come time expect,1
great product,1
piece crap,0
experience terrible fourth bluetooth headset comfortable jabra hat,0
fix problem,1
bad,0
happy,1
ve no trouble access internet download ringtones perform function,1
barely hear constantly say,0
battery life highly unacceptable,0
company joke,0
description say,1
happen force stop headset,0
work great car charger especially not plug adapter time,1
verizon tech support walk procedure work end have hard reset wipe data,0
voice quality signal strength drop call,0
play louder speaker size price low think quality lack not,1
well expect,1
feel poorly construct menu difficult navigate button recess difficult push,0
battery hold,1
difficult onid recommend avoid product,0
day nt easy hear,0
get car charger not week charger brokeni go plug start smoking,0
sprint terrible customer service,0
link phone effort,1
cool,1
easy use,1
well new,1
possesed junk no idea,0
piece trash,0
pretty good product,1
great phone,1
price amazon excellent product highly recommend,1
research development division obviously know,1
real killer volume course break,0
phone work fine,1
happy product,1
poor construction,0
infuriate,0
overall recommend phone new walkman,1
sprint charge service,0
cheap feel look cheap,0
fit ear comfortable,1
nt work europe asia,0
clip belt deffinitely feel like cent upandcoming,1
like design look jabra behing ear headset pretty comfortible wear hour day pain ear,1
amaze quick arrival original lg cell phone battery fraction price,1
bad phone samsungcrap crappy samsung e bad seeen,0
charger work week completely stop charge phone,0
poor product,0
need well instruction,0
need hand operate screenthis software interface decade old not compete new software design,0
work pair treo w skype headset pc usb bluetooth transceiver,1
steer clear product genuine palm replacementr pen come threepack,0
not buy not buyit suck,0
great product sure beat finger,1
plus seriously not believe worth steep price point,0
case ve try normally fall apart month long haul,1
dissapointing performance,0
nt mistake nt buy phone,0
phone bad ve brand,0
case extra originally later discard scratch ear,0
recommend igo different brand cell phonesmp player family,1
nt bother store,0
post detailed comment grey black phone fire red great color,1
not problem item order need,1
pay guess,0
not software great job ringtones form exist cd internet connection,1
m surprised good quality car charger s not review,1
fabulous,1
bt headset currently not good real time game like firstperson shooter audio delay mess,0
bitpim free program find internetto transfer data phonethe price cable excellent,1
disappoint accessory good manufacturer,0
perform awful muffle tinny incoming sound severe echo end,0
windresistant,1
obviously terrible customer service pay,0
not forever not overly expensive replaceeasy operate sound well try,1
contact company told unit warranty nt produce receipt luck,0
linksys way exchange bad phone refurb unit,0
phone sturdy nokia bar phone,1
great phone,1
place treo case not not snug lot extra room side,0
m pleased,1
battery terrible,0
found product easy set use,1
earpiece large heavyit keep fall ear,0
utter crap sound quality terrible,0
charger arrive promise timeframe not work,0
no ear loop need tiny sound great,1
finally time spring latch broke not use longer visor,0
handsfree work fine car try download address book treo rebootsoverall rate device high,1
talk useless customer service,0
felt light tinny,0
not fit palm tungsten e broke time try plug,0
m happy purchase good quality low price,1
love look feel samsung flipphones,1
welldesigned sharp blue nice color,1
,1
not recommend,0
nice sound,1
look good picture case huge disappointment,0
jawbone go replace,1
setup go smoothly,1
extremely slow take forever,0
study interested bad sin industrial design,0
thing happen track,0
easy access phone handy detachable belt clip,1
continue pair periodically kept drop,0
nt upload ringtones party,0
bluetooth not work phone lock screen flash make call randomly pocket lock,0
truly awful,0
work fine motorola cellphone lot well wornout battery,1
volume ringer real good choice loud,1
tone acceptable,0
camera color balance awful,0
product clearly not ready prime time nt care cool look nt tell come worthless,0
love ringtones upbeat,1
chinese forgery abound,0
easy pair samsung cell,1
instruction nt explain microphone jack,0
advise not purchase item never work,0
bad pay month service,0
work,1
nokia usb cable not work phone,0
clear crisp sound,1
use small earpiece provide stay pretty,1
big complaint battery drain superfast,0
design ergonomic theory not stand have ear,0
not buy want use holster,0
phone great picture video clip,1
nt look cool,0
ear occupy background not distract,1
comfortable fit need headset comfortable hour time not entire day,1
phone nt accept cbr mp preferably ripped window medium player,0
nt beat price,1
come strong light use light camera shot flash so signal seriously,1
lightweight work,1
beware,0
love cable allows connect miniusb device pc,1
near hear conversation,0
cool case open allow screen scratch,1
bought phone replacement startac regret,0
appear actually outperform original battery china come vi,1
nt store phone number sim,0
last o minute actually try use phonemy wife phone problem,0
poor quality,0
jabra ear gel r best,1
not worth,0
phone crashed completely replace,0
quit work d month purchase best headset ve own,1
unfortunately not recharge iphone s despite connect multiple power source imac external battery wall outlet etc,0
great phone,1
simply want small flip phone look extra bell whistle mediocre,0
good value work fine power usb car wall outlet,1
phone nt slide car grip prevents phone slip hand,1
simply best bluetooth headset sound quality,1
think plan onethis sure moto phone,0
span hour people exclaim whoa new phone tv,1
cord headset freedom wireless helpful,1
case pass year mark show sign wear functional,1
leather nice soft fit tight cut face good shape,1
need nt ask,1
receive product day broke,0
product great make work lot easy copier wait hold,1
size sent headset stay ear,0
tmobile best customer service,1
arrive quickly expensive sell,1
try unit fail month pro,0
provide good protection look classy,1
krussel good,1
tracfonewebsite user friendly make easy toactivate etc,1
design good,1
great reception time,1
highly recommend product,1
nt use unit sunglass not good texas,0
dit not work time nokia,0
bought mainly charger broke soon purchasing,0
like loud buzzing override conversation phone,0
fantastic buy phone,1
stay away store careful,0
blueant supertooth handsfree phone speaker awesome,1
not fit,0
item arrive quickly work great metro pc samsung schr slider phone sony premium sound ear plug,1
light plenty battery capacity confortable wear somewhat extend period time,1
disappoint,0
blue ant easy use,1
cheap hey work pleasantly suprised give low cost item,1
camera phone dustpan indoors d disposable,0
day later puff smoke come phone use,0
convenient simple use get job make car ride smoother,1
nano state itmy son dissapointed,0
sound quality excellent,1
best headset,1
not reccommend,0
year carry high quality antiglare screen protector found date,1
want,1
particular model not work motorola q smartphone,0
wo nt work right atleast,0
addition feel amp look phone lightweight cheap plastic,0
warranty problem reoccurebottom line money cingular not support,0
want plantronics right issue methe good,0
great product,1
crisp clear,1
charge kept go dead minute,0
cheap plastic creak like old wooden floor,0
absolutely horrible reception apartment phone not problem,0
reception generally good,1
excellent sound battery life inconspicuous boot,1
great bluetooth,1
highly recommend case,1
worthwhile,1
great deal,1
phone get year old slowly break despite care,0
sorry purchase,0
bought hop bluetooth headset fit well thing impossible wear,0
treo tmobile refuse replace force buy phone kind upgrade discount,0
horrible,0
nt think hold securly belt,0
allows possibility double book date time,0
work week break,0
simple use like,1
great tool entertainment communication data managementoh sure use activesync optimal data synchronization result,1
nt use case smell disgust,0
not want,0
case order,1
great phone,1
bought battery coupon amazon m happy purchase,1
internet access fine rare instance work,0
perfect p,1
star plus plus,1
good quality bargain bought bought cheapy big lot sound awful people end nt hear,1
drain,0
try talk real loud shout telephone get old told nt great,0
good work fine,1
price great deal,1
great price,1
wind completely useless,0
yes shiny love,1
not work,0
thought grtting good deal plug phone vc razr,0
reception headset excellent,1
thumb seller,1
verizon lg phone work good reception range exceeds foot line sight,1
improper description return,0
work comfortable,1
battery chargelife long,1
jabra eargels fit ear,1
battery no life,0
checked no feature disappoint,0
product exactly described,1
get signal verizon phone wo nt,1
nt job,0
recommend,1
plan order,1
say phone camera nice cool effect play video decent,1
satisfied cell phone day,1
get well well ve numerous palm,1
awkward use unreliable,0
shipping time quick,1
not good hop,0
good case,1
nt work,0
good product,1
unfortunately not work,0
broke month use,0
nt buy,0
father v battery die,0
ear pad come easily week lose,0
call drop phone come screen go black bad stop ring intermittently,0
horrible horrible protector,0
nt like nokia,0
reach row uncomfortable send end key not expect,0
bought nokia cell phone week ago nightmare,0
long describe bad customer service experience amazon,0
disappoint thing no speakerphone,0
terrible car not accept cassette,0
product useless not charge current charge cellphone planning use,0
not say,0
stay away q,0
dirty,0
unreliable service tmobile,0
not good price,0
bought charge,0
look nice,1
excellent tool especially pair phone autoanswer,1
read review nt problem,1
product cover important light sensor ear outlet,0
comfortable hand,1
not work,0
poor reliability,0
work,1
picture battery drop bar start beep let know die,0
terrible product waste money,0
time buying,0
waste money,0
far work like charm,1
week far good,1
case best download picture laptop ir send picture laptop phone,1
recommend item,1
choice headset yearsgreat sound good volume good noise cancellation,1
nice case feel good hand,1
item receive counterfeit,0
good far probably best bt headset,1
work fine,1
receive headset good time happy,1
pleased replace travled swivel holster blackberry flip,1
sister love,1
good quality,1
far bad purchase ve amazon,0
excellent dualpurpose headset,1
excellent,1
not work listen music cingular,0
completely secure hold belt keep iphone inside,1
bottowm lineanother worthless cheap gimmick sprint,0
have trouble volume,0
good thing fit comfortably small ear,1
warn not buy,0
pair iphone not happier far,1
open battery connection broken device turn,0
nt want clip go ear cause discomfort,0
best headset,1
nt trust website nt expect helpful support,0
loudglad plantronics maintains flawless connection cell no static normal use,1
speaker low quality make ring tone sound cheap,0
fit comfortably come size earbud tip,1
excellent product price,1
bad reception,0
product high quality chinese crap,0
comfortable ear,1
great phone,1
nt buy product fails,0
product wrongfirst,0
pair device easy barely take couple minute start make call voice dial feature,1
utterly confuse cause lose couple important contact,0
terrible phone holder,0
cutout button place perfectly,1
love able use headset landline cell,1
problem ear loop weak material break easily,0
not nearly good look amazon picture make look,0
despite flaw case exceptional quality worth additional cost own official oem product,1
stupid,0
hear m drive car usually nt loud set,1
seller ship quickly cheaper competitor,1
good samsung,1
bought save alot money,1
cut make beep beep beep sound say signal fail,0
nt figure,0
phone sound ok not great ok wife phone totally unintelligible nt understand word say,0
battery phone restart,0
manage bend leaf spring place metal stress break drop,0
leopard print wonderfully wild,1
work,1
saggy floppy piece junk,0
well hard plastic case,1
new problem,0
happy far,1
cool phone,1
work good,1
motorola finally get voice quality bluetooth headset right,1
loos connection phone couple foot,0
great recommend,1
make easy bluetooth m not wear,0
say abovepretty useless,0
never get,0
pair headphone bad soundwise,0
drain weak snap,0
not charge cingular att phone,0
extra minute carry not cut,1
year fliptop start loose wobbly eventually screen go black nt receive place call,0
kept catch cable seat pull phone turn,0
headset fulfills requirement happy purchase,1
logitech bluetooth headset,1
like fact rest lightly ear inside,1
lot website rating good phone,1
try cable computer ipod work fine,1
mic joke volume low,0
m return,0
not maintain connection computer lap,0
easy turn car volume control accessable,1
year christmas bought rest family,1
easy install use clear sound,1
nice leather,1
purchase different case,0
joy use,1
disappointed company,0
satisifed,1
nt charge,0
phone bought sa wow,1
button small,0
reading spec make wow,1
love great armband,1
like product motorola allot clearer ear piece mic,1
keypad tinny reach wrong button,0
exchange sony ericson za m pretty happy decision,1
impressed price case,1
make easy hold,1
use product motor control center lot high voltage hum equipment work great,1
pretty easy,1
not call certain place,0
girl complain time phone nt wake like normal phone,0
beautiful style,1
company charge restock fee not give refund,0
m try return refund,0
plug find not darn thing work,0
excellent product,1
earbud piece break easily,0
lousy product,0
phone try hard fails ability phone,0
best charger see market,1
sweetest phone,1
oh charger work fine,1
fit securely ear hook not need sound well direct ear canal,1
not volume,0
echo problemvery unsatisfactory,0
video time quality poor,0
nt waste money,0
go negatively review product,0
adapter not provide charge current,0
hype phone assume best mistake,0
not picture case lense cover,0
phone fall easily,0
nt work people not hear talk,0
text message feature tricky use,0
m disappointed charger nt work,0
painful ear,0
last day blew,0
disappointed,0
kind flop,0
screen smudge easily touch ear face,0
piece junk lose call phone,0
item not match picture,0
thing disappoint infra red port irda,0
not answer call unit never work,0
